gid,Latitude,Longitude,Ratio
 451,-71.111642,42.336733,8
 451,-71.111623,42.3368,8
 451,-71.111581,42.336818,8
 451,-71.111545,42.336833,8
 451,-71.111453,42.336763,8
 451,-71.111299,42.336707,8
 451,-71.111007,42.336465,8
 451,-71.11093,42.336376,8
 451,-71.11093,42.336272,8
 451,-71.110977,42.336159,8
 451,-71.111116,42.335976,8
 451,-71.111178,42.335827,8
 451,-71.111132,42.335791,8
 451,-71.111055,42.335793,8
 451,-71.110963,42.33584,8
 451,-71.110869,42.336008,8
 451,-71.110653,42.336237,8
 451,-71.110653,42.336327,8
 451,-71.110852,42.336616,8
 451,-71.111206,42.33688,8
 451,-71.111252,42.33705,8
 451,-71.111379,42.337241,8
 451,-71.111354,42.337252,8
 451,-71.111157,42.337372,8
 451,-71.110954,42.337453,8
 451,-71.110763,42.337513,8
 451,-71.110743,42.337344,8
 451,-71.110697,42.337183,8
 451,-71.110639,42.337057,8
 451,-71.110561,42.336927,8
 451,-71.110414,42.336725,8
 451,-71.110288,42.336591,8
 451,-71.110063,42.336307,8
 451,-71.110823,42.335572,8
 451,-71.110894,42.335505,8
 451,-71.11099,42.335558,8
 451,-71.11116,42.335651,8
 451,-71.111264,42.335741,8
 451,-71.111348,42.335814,8
 451,-71.111377,42.335837,8
 451,-71.111456,42.335898,8
 451,-71.111463,42.33591,8
 451,-71.111483,42.335943,8
 451,-71.111509,42.336095,8
 451,-71.111511,42.336104,8
 451,-71.111512,42.336139,8
 451,-71.111542,42.33628,8
 451,-71.111583,42.336417,8
 451,-71.111594,42.336452,8
 451,-71.111616,42.336546,8
 451,-71.111626,42.336591,8
 451,-71.111637,42.336662,8
 451,-71.111652,42.336696,8
 451,-71.111642,42.336733,8
 758,-71.167372,42.345425,0.125
 758,-71.167358,42.345471,0.125
 758,-71.167339,42.345528,0.125
 758,-71.167317,42.345583,0.125
 758,-71.167295,42.345639,0.125
 758,-71.167275,42.345691,0.125
 758,-71.167252,42.345738,0.125
 758,-71.167227,42.345788,0.125
 758,-71.167197,42.345837,0.125
 758,-71.16717,42.345903,0.125
 758,-71.167133,42.345996,0.125
 758,-71.167107,42.346052,0.125
 758,-71.167088,42.346123,0.125
 758,-71.167073,42.346176,0.125
 758,-71.167061,42.346225,0.125
 758,-71.16703,42.346278,0.125
 758,-71.167019,42.346323,0.125
 758,-71.167003,42.346375,0.125
 758,-71.166984,42.346429,0.125
 758,-71.16697,42.346474,0.125
 758,-71.166963,42.346528,0.125
 758,-71.166956,42.346579,0.125
 758,-71.166653,42.346554,0.125
 758,-71.164878,42.346426,0.125
 758,-71.163736,42.346397,0.125
 758,-71.162608,42.346389,0.125
 758,-71.162118,42.346373,0.125
 758,-71.162249,42.346223,0.125
 758,-71.162461,42.345911,0.125
 758,-71.162726,42.345576,0.125
 758,-71.162892,42.34542,0.125
 758,-71.163239,42.345482,0.125
 758,-71.163414,42.345494,0.125
 758,-71.163533,42.345453,0.125
 758,-71.163693,42.34534,0.125
 758,-71.16402,42.345046,0.125
 758,-71.164504,42.344645,0.125
 758,-71.165207,42.344038,0.125
 758,-71.165462,42.343861,0.125
 758,-71.165653,42.343779,0.125
 758,-71.16571,42.343768,0.125
 758,-71.165884,42.343733,0.125
 758,-71.166059,42.343721,0.125
 758,-71.166495,42.343793,0.125
 758,-71.166678,42.343794,0.125
 758,-71.166662,42.34387,0.125
 758,-71.166632,42.343918,0.125
